t,alpha,w,h,ring,horns,eyes,copy,drain,line,tilt,turn,squash,wink,horn_lag,frame
456,1.000000,308,68,0.002682,0.000000,0.000000,0.244786,1.000000,0.531034,0.000000,0.000000,1.000000,0.000000,0.000000,3
460,1.000000,308,69,0.004259,0.000000,0.000000,0.298706,1.000000,0.517241,0.000000,0.000000,1.000000,0.000000,0.000000,3
464,1.000000,308,69,0.006234,0.000000,0.000000,0.349902,1.000000,0.503448,0.000000,0.000000,1.000000,0.000000,0.000000,4
468,1.000000,308,70,0.008628,0.000000,0.000000,0.398459,1.000000,0.489655,0.000000,0.000000,1.000000,0.000000,0.000000,4
472,1.000000,308,71,0.011460,0.000000,0.000000,0.444464,1.000000,0.475862,0.000000,0.000000,1.000000,0.000000,0.000000,5
476,1.000000,308,71,0.014754,0.000000,0.000000,0.488000,1.000000,0.462069,0.000000,0.000000,1.000000,0.000000,0.000000,5
480,1.000000,308,72,0.018533,0.000000,0.000000,0.529147,1.000000,0.448276,0.000000,0.000000,1.000000,0.000000,0.000000,6
484,1.000000,308,72,0.022821,0.000000,0.000000,0.567984,1.000000,0.434483,0.000000,0.000000,1.000000,0.000000,0.000000,6
488,1.000000,308,73,0.027645,0.000000,0.000000,0.604589,1.000000,0.420690,0.000000,0.000000,1.000000,0.000000,0.000000,7
492,1.000000,308,73,0.033033,0.000000,0.000000,0.639036,1.000000,0.406897,0.000000,0.000000,1.000000,0.000000,0.000000,7
496,1.000000,308,73,0.039012,0.000000,0.000000,0.671399,1.000000,0.393103,0.000000,0.000000,1.000000,0.000000,0.000000,8
500,1.000000,308,74,0.045613,0.000000,0.000000,0.701750,1.000000,0.379310,0.000000,0.000000,1.000000,0.000000,0.000000,8
504,1.000000,308,74,0.052867,0.000000,0.000000,0.730160,1.000000,0.365517,0.000000,0.000000,1.000000,0.000000,0.000000,9
508,1.000000,308,74,0.060805,0.000000,0.000000,0.756699,1.000000,0.351724,0.000000,0.000000,1.000000,0.000000,0.000000,9
512,1.000000,308,75,0.069458,0.000000,0.000000,0.781434,1.000000,0.337931,0.000000,0.000000,1.000000,0.000000,0.000000,10
516,1.000000,308,75,0.078859,0.000000,0.000000,0.804432,1.000000,0.324138,0.000000,0.000000,1.000000,0.000000,0.000000,10
520,1.000000,308,75,0.089039,0.000000,0.000000,0.825761,1.000000,0.310345,0.000000,0.000000,1.000000,0.000000,0.000000,11
524,1.000000,308,75,0.100028,0.000000,0.000000,0.845485,1.000000,0.296552,0.000000,0.000000,1.000000,0.000000,0.000000,11
528,1.000000,308,75,0.111853,0.000000,0.000000,0.863668,1.000000,0.282759,0.000000,0.000000,1.000000,0.000000,0.000000,12
